Sample,Observation,A,Ci,Tleaf,Qin,Patm
DFA_B3_P17_8717,0+239,2.206895907,74.48304869,29.9835434,1498.948975,100.9009628
DFA_B3_P17_8717,0+240,26.92226091,302.173378,29.9837532,1499.045288,100.9027481
DFA_B3_P17_8717,0+241,27.91479405,299.3982683,29.9809761,1498.665283,100.9007187
DFA_B3_P17_8717,0+242,36.88801642,466.4002597,29.98732567,1500.667725,100.9009552
DFA_B3_P17_8717,0+243,40.43178127,648.5098676,29.9853096,1500.898315,100.8979034
DFA_B3_P20_7903,0+244,26.79989402,312.808977,29.05270386,1499.169434,100.8841782
DFA_B3_P20_7903,0+245,23.19806008,229.2723619,28.7585907,1498.573364,100.8808746
DFA_B3_P20_7903,0+246,11.16237727,163.7596452,28.76934052,1500.338989,100.876709
DFA_B3_P20_7903,0+247,3.419860874,88.49586665,28.99667168,1499.365112,100.8732529
DFA_B3_P20_7903,0+248,1.558619335,77.43896742,29.1060276,1500.524658,100.8718414
DFA_B3_P20_7903,0+249,24.34637633,318.728708,28.95643425,1501.192749,100.8682251
DFA_B3_P20_7903,0+250,25.02083953,308.9638069,29.39820099,1500.275146,100.8676605
